,Name,Country,Age,Role,Batting style,Bowling style,Test Matches,ODI Matches,T20 Matches,Ipl Matches,Test Innings,ODI Innings,T20 Innings,IPL Innings,Test Runs,ODI Runs,T20 Runs,IPL Runs,Test Balls,ODI Balls,T20 Balls,IPL Balls,Test Highest,ODI Highest,T20 Highest,IPL Highest,Test Average,ODI Average,T20 Average,IPL Average,Test Strikerate,ODI Strikerate,T20 Strikerate,IPL Strikerate,Test Fours,ODI Fours,T20 Fours,IPL Fours,Test Sixes,ODI Sixes,T20 Sixes,IPL Sixes,Test Ducks,ODI Ducks,T20 Ducks,IPL Ducks,Test 50s,ODI 50S,T20 50s,IPL 50s,Test 100s,ODI 100s,T20 100s,IPL 100s,Test 200s,ODI 200s,T20 200s,IPL 200s,Test bowl balls,Test bowl runs,Test Maidens,Test Wickets,Test Economy,ODI bowl balls,ODI bowl runs,ODI Maidens,ODI Wickets,ODI Economy,T20 bowl balls,T20 bowl runs,T20 Maidens,T20 Wickets,T20 Economy,IPL bowl balls,IPL bowl runs,IPL Maidens,IPL Wickets,IPL Economy
587,Rakep Patel,Kenya,36,WK-Batsman ,Right Handed Bat ,Right-arm offbreak,0,39,95,0,0,35,82,0,0,621,1938,0,0,977,1434,0,0,92,120,0,0,20.03,29.36,0,0,63.57,135.15,0,0,56,152,0,0,7,104,0,0,3,4,0,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,168,137,0,2,4.89,617,623,3,38,6.06,0,0,0,0,0
588,Brett Geeves,Australia,43,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,2,1,2,0,2,0,0,0,10,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,90.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,78,0,3,5.2,20,35,0,2,10.5,48,91,0,1,11.38
589,Regan West,Ireland,47,Batsman ,Left Handed Bat,,0,10,5,0,0,4,4,0,0,61,11,0,0,41,11,0,0,29,8,0,0,30.5,3.67,0,0,148.79,100.00,0,0,6,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,279,8,9,3.74,114,142,0,3,7.47,0,0,0,0,0
590,Moises Henriques,Australia,39,Batting Allrounder ,Right Handed Bat ,Right-arm fast-medium,4,16,24,62,8,15,21,54,164,117,355,1000,346,192,285,788,81,22,62,74,23.43,9,20.88,27.78,47.40,60.94,124.57,126.91,12,10,17,87,2,0,15,28,2,0,0,2,2,0,2,5,0,0,0,0,0,0,0,0,330,164,12,2,2.98,402,347,1,8,5.18,138,194,0,7,8.43,950,1289,0,42,8.14
591,Phillip Hughes,Australia,25,Batsman ,Left Handed Bat,,26,25,1,0,49,24,1,0,1535,826,6,0,2866,1100,8,0,160,138,6,0,32.66,35.91,6,0,53.56,75.10,75.00,0,199,91,1,0,11,5,0,0,6,1,0,0,7,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,Marcus North,Australia,46,Batsman ,Left Handed Bat ,Right-arm offbreak,21,2,1,0,35,2,1,0,1171,6,20,0,2433,19,21,0,128,5,20,0,35.48,3,20,0,48.13,31.58,95.24,0,143,0,1,0,5,0,0,0,5,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,1258,591,37,14,2.82,18,16,0,0,5.33,0,0,0,0,0,0,0,0,0,0
593,George Bailey,Australia,43,Batsman ,Right Handed Bat ,Right-arm medium,5,90,30,40,8,85,26,37,183,3044,473,663,311,3645,346,544,53,156,63,61,26.14,40.59,24.89,24.56,58.85,83.52,136.71,121.88,15,223,37,59,8,57,20,19,1,3,1,1,1,22,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Ryan Harris,Australia,46,Bowler ,Right Handed Bat ,Right-arm fast,27,21,3,37,39,13,1,21,603,48,2,117,955,48,1,112,74,21,2,17,21.54,8,0,9.75,63.15,100.00,200.00,104.47,63,3,0,6,9,1,0,3,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5736,2658,258,113,2.78,1031,832,13,44,4.84,70,95,1,4,8.14,832,1047,3,45,7.55
595,Jason Krejza,Australia,43,Bowler ,Right Handed Bat ,Right-arm offbreak,2,8,0,0,4,2,0,0,71,13,0,0,146,23,0,0,32,7,0,0,23.67,13,0,0,48.64,56.53,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,562,8,13,4.54,425,331,0,7,4.67,0,0,0,0,0,0,0,0,0,0
596,Peter Siddle,Australia,41,Bowler ,Right Handed Bat ,Right-arm fast-medium,67,20,2,0,94,6,1,0,1164,31,1,0,2469,30,1,0,51,10,1,0,14.73,10.33,0,0,47.15,103.34,100.00,0,126,2,0,0,4,0,0,0,17,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13907,6777,614,221,2.92,901,743,10,17,4.95,48,58,0,3,7.25,0,0,0,0,0
597,Bryce McGain,Australia,54,Bowler ,Right Handed Bat ,Right-arm legbreak,1,0,0,0,2,0,0,0,2,0,0,0,16,0,0,0,2,0,0,0,1,0,0,0,12.50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,149,2,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Shikhar Dhawan,India,40,Batsman ,Left Handed Bat ,Right-arm offbreak,34,167,68,222,58,164,66,221,2315,6793,1759,6768,3458,7436,1392,5324,190,143,92,106,40.61,44.11,27.92,35.07,66.95,91.36,126.37,127.13,316,842,191,768,12,79,50,152,4,5,2,12,5,39,11,51,7,17,0,2,0,0,0,0,54,18,2,0,2,0,0,0,0,0,0,0,0,0,0,48,66,0,4,8.25
599,Ajinkya Rahane,India,37,Batsman ,Right Handed Bat ,Right-arm medium,85,90,20,211,144,87,20,196,5077,2962,375,5304,10256,3767,331,4234,188,111,61,105,38.46,35.26,20.83,29.97,49.51,78.64,113.30,125.28,579,293,32,535,35,33,6,137,10,6,2,15,26,24,1,34,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,5
600,Cheteshwar Pujara,India,38,Batsman ,Right Handed Bat ,Right-arm legbreak,103,5,0,30,176,5,0,22,7195,51,0,390,16217,130,0,391,206,27,0,51,43.61,10.2,0,20.53,44.37,39.24,0,99.75,863,4,0,50,16,0,0,4,12,2,0,1,35,0,0,1,19,0,0,0,3,0,0,0,12,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Vinay Kumar,India,42,Bowler ,Right Handed Bat ,Right-arm fast-medium,1,31,9,105,2,13,1,46,11,86,2,310,24,146,4,274,6,27,2,26,5.5,9.56,0,11.07,45.84,58.91,50.00,113.14,2,5,0,21,0,2,0,9,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,78,73,0,1,5.62,1436,1423,19,38,5.95,189,247,0,10,7.84,2121,2966,1,105,8.39
602,Sudeep Tyagi,India,38,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,4,1,14,0,1,0,3,0,1,0,3,0,2,0,4,0,1,0,3,0,0,0,3,0,50.00,0,75.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,144,4,3,5.24,12,21,0,0,10.5,209,295,0,6,8.47
603,Dhawal Kulkarni,India,37,Bowler ,Right Handed Bat ,Right-arm fast-medium,0,12,2,92,0,2,1,23,0,27,1,104,0,28,1,108,0,25,1,28,0,0,0,11.56,0,96.43,100.00,96.30,0,2,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,508,5,19,5.1,48,55,0,3,6.88,1787,2474,8,86,8.31
604,Mohnish Parmar,India,38,Bowler ,Right Handed Bat,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33,0,0,11
605,Amit Mishra,India,43,Bowler ,Right Handed Bat ,Right-arm legbreak,22,36,10,162,32,11,1,57,648,43,0,381,1103,82,0,419,84,14,0,31,21.6,5.38,0,11.91,58.75,52.44,0,90.94,79,4,0,31,3,0,0,5,4,2,1,10,4,0,0,0,0,0,0,0,0,0,0,0,5103,2715,123,76,3.19,1917,1512,19,64,4.73,228,240,1,16,6.32,3371,4145,6,174,7.38
606,Neil Broom,New Zealand,42,Batsman ,Right Handed Bat ,Right-arm medium,2,39,11,0,3,39,7,0,32,943,73,0,72,1161,68,0,20,109,36,0,10.67,26.94,12.17,0,44.45,81.23,107.36,0,5,78,8,0,0,12,1,0,1,7,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,Martin Guptill,New Zealand,39,Batsman ,Right Handed Bat ,Right-arm offbreak,47,198,122,13,89,195,118,13,2586,7346,3531,270,5548,8414,2602,196,189,237,105,50,29.39,41.5,31.81,22.5,46.62,87.31,135.71,137.76,326,751,310,24,23,187,173,15,10,16,3,1,17,39,20,1,3,18,2,0,0,1,0,0,428,298,9,8,4.18,109,98,0,4,5.39,6,11,0,0,11,0,0,0,0,0
608,BJ Watling,New Zealand,40,WK-Batsman ,Right Handed Bat,,75,28,5,0,117,25,4,0,3790,573,38,0,8894,838,58,0,205,96,22,0,37.52,24.91,9.5,0,42.62,68.38,65.52,0,429,58,3,0,8,3,0,0,10,3,0,0,19,5,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,Reece Young,New Zealand,46,WK-Batsman ,Right Handed Bat,,5,0,0,0,10,0,0,0,169,0,0,0,419,0,0,0,57,0,0,0,24.14,0,0,0,40.34,0,0,0,19,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,Swapnil Asnodkar,India,42,Batting Allrounder ,Right Handed Bat ,Right-arm offbreak,0,0,0,20,0,0,0,20,0,0,0,423,0,0,0,339,0,0,0,60,0,0,0,21.15,0,0,0,124.78,0,0,0,56,0,0,0,10,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
